Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,SE_A14006_001,SE_A14008_001,SE_A14028_001
"12001","Alachua County, Florida","ACSSF","fl","050","00","0000013",,,,,"12","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12001","Alachua County",,,,268105,268105,306.1836,875.634660855572,101979,50803,36920,13883,2938,10945,51176,24295,26881,164360,11853,80051,72456,50089,73207.1681424607,0.5126
"12003","Baker County, Florida","ACSSF","fl","050","00","0000014",,,,,"12","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12003","Baker County",,,,28679,28679,49.00465,585.230127707155,8828,6448,4881,1567,373,1194,2380,1240,1140,19356,2918,13659,2779,62299,75055.980969642,0.3963
"12005","Bay County, Florida","ACSSF","fl","050","00","0000015",,,,,"12","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12005","Bay County",,,,180076,180076,237.3662,758.642118805184,73536,47432,34976,12456,3554,8902,26104,13126,12978,127857,11583,84969,31305,56483,73774.2915034813,0.4369
"12007","Bradford County, Florida","ACSSF","fl","050","00","0000016",,,,,"12","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12007","Bradford County",,,,27723,27723,94.3076,293.963567398768,9318,5882,4157,1725,414,1311,3436,1422,2014,20265,4268,13914,2083,43580,57647.4243399871,0.452
"12009","Brevard County, Florida","ACSSF","fl","050","00","0000017",,,,,"12","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12009","Brevard County",,,,594001,594001,585.2394,1014.97096666085,236005,148934,115596,33338,10263,23075,87071,40879,46192,442889,34612,271368,136909,59359,80759.4894175971,0.4534
"12011","Broward County, Florida","ACSSF","fl","050","00","0000018",,,,,"12","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12011","Broward County",,,,1942273,1942273,1614.886,1202.73073697639,704942,447453,303652,143801,38912,104889,257489,121987,135502,1378777,146250,775826,456701,60922,88085.7721628162,0.4893
"12013","Calhoun County, Florida","ACSSF","fl","050","00","0000019",,,,,"12","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12013","Calhoun County",,,,14324,14324,25.2478,567.336435535609,4510,2753,2144,609,157,452,1757,794,963,10524,2325,7245,954,38037,54507.9600886918,0.471
"12015","Charlotte County, Florida","ACSSF","fl","050","00","0000020",,,,,"12","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County",,,,185926,185926,272.9714,681.118930280758,79789,51016,42938,8078,2054,6024,28773,12662,16111,154111,14144,103240,36727,52724,72650.0570254045,0.4566
"12017","Citrus County, Florida","ACSSF","fl","050","00","0000021",,,,,"12","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12017","Citrus County",,,,147938,147938,254.2247,581.918371822572,64621,40063,31966,8097,2258,5839,24558,10680,13878,118265,12464,83454,22347,45689,61716.9279336439,0.4542
"12019","Clay County, Florida","ACSSF","fl","050","00","0000022",,,,,"12","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12019","Clay County",,,,215294,215294,356.0867,604.611246075271,75360,57587,44328,13259,3612,9647,17773,8294,9479,148058,11731,97606,38721,68657,86630.2375265393,0.4123
