"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.3791","0.0386","1600000US3700160","Aberdeen town, North Carolina"
"0.4152","0.1288","1600000US3700440","Advance CDP, North Carolina"
"0.4587","0.0286","1600000US3700500","Ahoskie town, North Carolina"
"0.3318","0.0397","1600000US3700640","Alamance village, North Carolina"
"0.4707","0.0378","1600000US3700680","Albemarle city, North Carolina"
"0.3234","0.0780","1600000US3700880","Alexis CDP, North Carolina"
"0.4676","0.0665","1600000US3701000","Alliance town, North Carolina"
"0.3316","0.0787","1600000US3701140","Altamahaw CDP, North Carolina"
"0.4053","0.0208","1600000US3701340","Anderson Creek CDP, North Carolina"
"0.4403","0.0733","1600000US3701380","Andrews town, North Carolina"
"0.4379","0.0534","1600000US3701400","Angier town, North Carolina"
"0.4511","0.0957","1600000US3701420","Ansonville town, North Carolina"
"0.3823","0.0378","1600000US3701520","Apex town, North Carolina"
"0.2364","0.0659","1600000US3701560","Aquadale CDP, North Carolina"
"0.4864","0.1188","1600000US3701640","Arapahoe town, North Carolina"
"0.3746","0.0230","1600000US3701720","Archdale city, North Carolina"
"0.5793","0.2062","1600000US3701760","Archer Lodge town, North Carolina"
"0.2051","0.0625","1600000US3701972","Arrowhead Beach CDP, North Carolina"
"0.4323","0.0236","1600000US3702080","Asheboro city, North Carolina"
"0.4772","0.0148","1600000US3702140","Asheville city, North Carolina"
"0.5558","0.2020","1600000US3702240","Ashley Heights CDP, North Carolina"
"0.4702","0.0836","1600000US3702320","Askewville town, North Carolina"
"0.4041","0.0622","1600000US3702460","Atkinson town, North Carolina"
"0.5558","0.2242","1600000US3702480","Atlantic CDP, North Carolina"
"0.4809","0.0813","1600000US3702500","Atlantic Beach town, North Carolina"
"0.4029","0.0890","1600000US3702580","Aulander town, North Carolina"
"0.4482","0.1501","1600000US3702620","Aurora town, North Carolina"
"0.3957","0.1328","1600000US3702700","Autryville town, North Carolina"
"0.3431","0.0492","1600000US3702760","Avery Creek CDP, North Carolina"
"0.3138","0.0753","1600000US3702780","Avon CDP, North Carolina"
"0.4034","0.0401","1600000US3702840","Ayden town, North Carolina"
"0.4234","0.0653","1600000US3702960","Badin town, North Carolina"
"0.3606","0.0441","1600000US3703020","Bailey town, North Carolina"
"0.5303","0.1663","1600000US3703100","Bakersville town, North Carolina"
"0.5191","0.0887","1600000US3703150","Bald Head Island village, North Carolina"
"0.5049","0.0795","1600000US3703220","Balfour CDP, North Carolina"
"0.5887","0.0991","1600000US3703500","Banner Elk town, North Carolina"
"0.3836","0.0847","1600000US3703640","Barker Heights CDP, North Carolina"
"0.4161","0.0820","1600000US3703665","Barker Ten Mile CDP, North Carolina"
"0.4164","0.1376","1600000US3703720","Barnardsville CDP, North Carolina"
"0.5300","0.1168","1600000US3703840","Bath town, North Carolina"
"0.4016","0.0813","1600000US3703960","Bayboro town, North Carolina"
"0.4497","0.0933","1600000US3704015","Bayshore CDP, North Carolina"
"0.3329","0.1101","1600000US3704040","Bayview CDP, North Carolina"
"0.3113","0.1368","1600000US3704180","Bear Grass town, North Carolina"
"0.4987","0.0650","1600000US3704260","Beaufort town, North Carolina"
"0.4251","0.0369","1600000US3704510","Beech Mountain town, North Carolina"
"0.5514","0.0875","1600000US3704640","Belhaven town, North Carolina"
"0.2800","0.1783","1600000US3704680","Bell Arthur CDP, North Carolina"
"0.5338","0.0387","1600000US3704840","Belmont city, North Carolina"
"0.3239","0.0470","1600000US3704950","Belville town, North Carolina"
"0.3048","0.1569","1600000US3704955","Belvoir CDP, North Carolina"
"0.3721","0.0635","1600000US3704960","Belwood town, North Carolina"
"0.5374","0.1995","1600000US3705020","Bennett CDP, North Carolina"
"0.4969","0.0638","1600000US3705040","Benson town, North Carolina"
"0.4990","0.1317","1600000US3705049","Bent Creek CDP, North Carolina"
"0.3781","0.0419","1600000US3705135","Bermuda Run town, North Carolina"
"0.4128","0.0359","1600000US3705220","Bessemer City city, North Carolina"
"0.4958","0.1709","1600000US3705340","Bethania town, North Carolina"
"0.4537","0.0598","1600000US3705460","Bethel town, North Carolina"
"0.4598","0.0664","1600000US3705530","Bethlehem CDP, North Carolina"
"0.5096","0.0683","1600000US3705660","Beulaville town, North Carolina"
"0.5615","0.0338","1600000US3705880","Biltmore Forest town, North Carolina"
"0.3465","0.0524","1600000US3706000","Biscoe town, North Carolina"
"0.3887","0.0756","1600000US3706080","Black Creek town, North Carolina"
"0.4416","0.0660","1600000US3706140","Black Mountain town, North Carolina"
"0.4678","0.0747","1600000US3706240","Bladenboro town, North Carolina"
"0.4327","0.0581","1600000US3706500","Blowing Rock town, North Carolina"
"0.2520","0.3885","1600000US3706510","Blue Clay Farms CDP, North Carolina"
"0.2608","0.1213","1600000US3706660","Boardman town, North Carolina"
"0.3124","0.0537","1600000US3706740","Bogue town, North Carolina"
"0.3955","0.0667","1600000US3706760","Boiling Spring Lakes city, North Carolina"
"0.4283","0.0862","1600000US3706800","Boiling Springs town, North Carolina"
"0.3794","0.1009","1600000US3706820","Bolivia town, North Carolina"
"0.3886","0.0682","1600000US3706860","Bolton town, North Carolina"
"0.4110","0.1128","1600000US3706980","Bonnetsville CDP, North Carolina"
"0.6020","0.0655","1600000US3707080","Boone town, North Carolina"
"0.3930","0.0637","1600000US3707140","Boonville town, North Carolina"
"0.4757","0.0965","1600000US3707220","Bostic town, North Carolina"
"0.2527","0.0824","1600000US3707340","Bowdens CDP, North Carolina"
"0.3207","0.1946","1600000US3707400","Bowmore CDP, North Carolina"
"0.3899","0.0436","1600000US3707588","Brandywine Bay CDP, North Carolina"
"0.4697","0.0394","1600000US3707720","Brevard city, North Carolina"
"0.3551","0.0504","1600000US3707748","Briar Chapel CDP, North Carolina"
"0.2616","0.0575","1600000US3707765","Brices Creek CDP, North Carolina"
"0.4195","0.0789","1600000US3707860","Bridgeton town, North Carolina"
"0.4527","0.0647","1600000US3708040","Broad Creek CDP, North Carolina"
"0.5173","0.0529","1600000US3708080","Broadway town, North Carolina"
"0.3787","0.0492","1600000US3708110","Brogden CDP, North Carolina"
"0.4120","0.0898","1600000US3708140","Brookford town, North Carolina"
"0.4693","0.1041","1600000US3708420","Brunswick town, North Carolina"
"0.4474","0.0519","1600000US3708480","Bryson City town, North Carolina"
"0.6205","0.0905","1600000US3708760","Buies Creek CDP, North Carolina"
"0.3505","0.0645","1600000US3708860","Bunn town, North Carolina"
"0.3771","0.0804","1600000US3708880","Bunnlevel CDP, North Carolina"
"0.4230","0.0635","1600000US3708960","Burgaw town, North Carolina"
"0.4826","0.0228","1600000US3709060","Burlington city, North Carolina"
"0.5601","0.0890","1600000US3709140","Burnsville town, North Carolina"
"0.3446","0.0368","1600000US3709360","Butner town, North Carolina"
"0.2600","0.1862","1600000US3709380","Butters CDP, North Carolina"
"0.4321","0.0875","1600000US3709400","Buxton CDP, North Carolina"
"0.3678","0.0254","1600000US3709530","Cajah's Mountain town, North Carolina"
"0.4247","0.0808","1600000US3709540","Calabash town, North Carolina"
"0.3484","0.0519","1600000US3709760","Calypso town, North Carolina"
"0.4488","0.1197","1600000US3709780","Camden CDP, North Carolina"
"0.3150","0.0746","1600000US3709800","Cameron town, North Carolina"
