"","County","Population","SolidWasteTons","RecyclingTons","Households","HHServed","State","TrashServiceType","RecyclingServiceType","YardWasteServiceType","FoodServiceType","MunicipalService","SchoolService","BusinessService","Non-resident Trash and Recycling Service","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","TipFee","PAYT/SMART","SingleorMultiStream","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","EnforceRecycling","PopulationDensity","MedIncome","AvgIncome","Gini","PctLessHS","PctHS","PctBachelororMore"
"2","Baker",28532,24044,16301,10777,0,"FL","Drop-off","Drop-off","Drop-off","None","No","No","No","No","No","Yes","No","No","Yes","No","Multi","No","No","No","No",49.00465,62299,75055.980969642,0.3963,0.150754288076049,0.705672659640422,0.14357305228353
"4","Bradford",28725,21861,9344,7545,0,"FL","Drop-off","Drop-off","Drop-off","None","No","No","No","No","No","Yes","No","No","Yes","No","Multi","No","No","No","No",94.3076,43580,57647.4243399871,0.452,0.210609425117197,0.68660251665433,0.102788058228473
"5","Brevard",606671,730023,1076381,286521,211178,"FL","Both","Both","Both","None","No","No","No","No","Yes","No","No","No","No","No","Single","Yes","Yes","No","No",585.2394,59359,80759.4894175971,0.4534,0.0781505072377052,0.612722375132369,0.309127117629925
"10","Clay",219575,205565,49512,79093,72883,"FL","Both","Both","None","None","No","No","No","No","No","Yes","No","No","No","No","Dual Stream","No","Yes","No","No",356.0867,68657,86630.2375265393,0.4123,0.0792324629537073,0.659241648543138,0.261525888503154
"11","Collier",387450,500649,1169920,231202,231202,"FL","Curbside","Both","Curbside","None","No","No","No","No","No","Yes","No","No","No","No","Single","Yes","Yes","Yes","No",189.9622,70217,114375.109645418,0.5329,0.117783954560365,0.523422474664641,0.358793570774994
"12","Columbia",70617,66535,39643,32634,0,"FL","Curbside","Drop-off","None","None","No","No","No","No","Yes","No","No","No","No","No","Drop-Off","No","No","No","No",88.8946,44818,65402.8010315414,0.4754,0.150159874544307,0.700841123398709,0.148999002056985
"21","Glades",13609,38300,65,5395,68,"FL","Both","Drop-off","Both","None","No","No","No","No","No","Yes","Yes","Yes","No","No","Multi","No","No","No","Yes",17.07564,39709,55573.5953899979,0.4308,0.280804456614106,0.604569917854782,0.114625625531111
"25","Hendry",40953,49495,7640,11397,11397,"FL","Curbside","Both","Curbside","None","No","No","No","No","No","Yes","Yes","No","No","No","Single","No","Yes","No","No",35.87699,36978,56452.7566392297,0.4763,0.309196696696697,0.608596096096096,0.0822072072072072
"28","Hillsborough",1478759,1548656,1497968,847631,324546,"FL","Both","Both","Both","None","No","No","No","No","Yes","No","No","No","No","No","Single","Yes","Yes","No","No",1420.269,60566,86345.787794095,0.4822,0.111125690898273,0.544243532751433,0.344630776350294
"30","Indian River",158834,223689,248061,71911,62662,"FL","Curbside","Curbside","Curbside","None","No","No","No","No","Yes","No","No","No","No","No","Single","Yes","Yes","No","Yes",312.1734,57945,89885.9823816007,0.5172,0.0990707483441526,0.594852868487824,0.306076383168023
"33","Lafayette",8690,3766,207,2279,0,"FL","Drop-off","Drop-off","Drop-off","None","No","No","No","No","No","Yes","No","No","No","No","Multi","No","No","No","No",15.78372,51734,58203.7149028078,0.3888,0.268413247652002,0.638820233975943,0.0927665183720547
"46","Okaloosa",203951,364196,45251,72806,26500,"FL","Both","Both","Both","None","No","No","No","No","No","Yes","No","No","Yes","No","Single","Yes","Yes","No","No",222.9964,64373,85982.5935508298,0.4414,0.0744161582158637,0.603836173644716,0.321747668139421
"50","Palm Beach",1466494,1816359,1494730,692251,346126,"FL","Both","Both","Both","None","No","No","No","No","No","Yes","No","No","No","No","Dual","Yes","Yes","No","No",754.4968,65015,101670.311422601,0.5212,0.112250215286094,0.516622292151271,0.371127492562635
"56","Sarasota",438816,849948,767853,244750,151064,"FL","Both","Both","Both","None","No","No","No","No","No","No","No","No","Yes","No","Single","Yes","Yes","No","Yes",769.3602,64644,96981.6612763439,0.4953,0.0676426209509133,0.56830366654117,0.364053712507917
"58","St. Johns",261900,375812,149529,107606,92894,"FL","Both","Both","Curbside","Private","No","No","No","No","No","Yes","No","No","No","No","Single",NA,"Yes","No","No",425.2267,83803,116070.8338356,0.4591,0.0522099630021142,0.503017089499648,0.444772947498238
"63","Union",15410,10033,569,3500,0,"FL","Drop-off","Drop-off","Drop-off","None","No","No","No","No","No","Yes","No","No","Yes","No","Multi","No","No","No","No",62.74558,55139,74345.9830339321,0.4708,0.23674225712521,0.657813465101915,0.105444277772876
"64","Volusia",551588,749178,724691,215560,149308,"FL","Curbside","Both","Curbside","None","No","No","No","No","No","Yes","No","Yes","No","No","Dual","Yes","Yes","No","No",495.8695,52407,70531.070485421,0.455,0.0920612689739518,0.663518724910986,0.244420006115062
