"","Municipality","state","Households","HHServedTrash","HHServedRecycling","TrashServiceType","ProvideTrashCart","RecyclingServiceType","ProvRecycleBinorCart","FoodServiceType","MunicipalService","SchoolService","BusinessService","Non-resident Trash and Recycling Service","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","ProvideCompostBins","SolidWasteTons","TipFee","Food Waste","Yard Waste","RecyclingTons","YardWasteServiceType"
"1","Abington","MA","6669","5222","5222","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","Yes","No","No","Yes",4151.18,"Yes",NA,"35.1",1617.1,"Both"
"3","Acushnet","MA","3799","3799","3799","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","Yes","Yes","No",3726.67,"Yes",NA,"0",1067.62,"None"
"4","Adams","MA","3867","601","601","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes",160.16,"Yes",NA,"10.8",12434.84,"Dropoff"
"5","Agawam","MA","13031","8894","8894","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",7259.81,"Yes",NA,"2233",2426.9,"Both"
"6","Amesbury","MA","5846","5646","5746","Curbside","No","Curbside","Yes","None","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","No","No","No","No",5355.95,"Yes",NA,NA,1808.55,"Both"
"8","Andover","MA","10900","9004","9004","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",10700,"Yes","137","830",3367.25,"Both"
"10","Arlington","MA","20311","20311","20311","Curbside","No","Curbside","No","Drop-off","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",12510,"Yes","70.3","3620",5400.27,"Curbside"
"11","Ashby","MA","1145","230","230","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","No","No","No","Yes","No","No","Yes","Yes","Yes",109.48,"Yes",NA,"1.1299999999999999",92.76,"Dropoff"
"13","Ashland","MA","6320","5950","5950","Curbside","No","Curbside","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","Yes","No","No","No","No","No",3153.12,"Yes",NA,"360.51",1997.21,"Curbside"
"15","Attleboro","MA","15007","14378","14378","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes",10418.85,"Yes",NA,"1420",4520.33,"Both"
"16","Auburn","MA","7542","5157","5157","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","No","Yes","Yes","No","No","Yes",4554,"Yes",NA,NA,1633,"Both"
"17","Ayer","MA","3282","1290","1290","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes",738.5,"Yes","12.38","75",571.77,"Dropoff"
"18","Barnstable","MA","25517","9053","9053","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","No","Yes","No","Yes","No","No","No","No","Yes","No",9657,"Yes","15.36","405",6691.95,"Dropoff"
"19","Barre","MA","2477","900","900","Drop-off","No","Drop-off","No","Drop-off","Recycling","Neither","Both","Neither","No","No","No","No","Yes","No","No","No","Yes","Yes",752.14,"Yes",NA,NA,344.78,"Dropoff"
"21","Bedford","MA","5033","4443","4443","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","No","No","No","No","Yes","No","No","No","No","Yes",3911.75,"Yes","60","520.11",1725.33,"Both"
"22","Belchertown","MA","7451","1847","1847","Drop-off","No","Drop-off","No","None","Recycling","Neither","Neither","Neither","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No",1541,"Yes",NA,"726",1315.4,"Dropoff"
"23","Belmont","MA","9810","9810","9810","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",6416,"Yes",NA,"160.15",3026.78,"Curbside"
"24","Berkley","MA","2870","1155","1155","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","Yes","No","No","No","Yes","No","No","No","No",704.32,"Yes",NA,NA,476.97,"Dropoff"
"25","Berlin","MA","1470","720","720","Drop-off","No","Drop-off","No","None","Trash","Neither","Neither","Neither","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes",659,"Yes",NA,NA,237,"Dropoff"
"27","Beverly","MA","14000","12625","12625","Curbside","Yes","Curbside","No","None","Both","Both","Both","Neither","Yes","Yes","No","No","Yes","Yes","No","No","No","No",12612.2,"Yes","347.73","1000",3216.55,"Both"
"28","Billerica","MA","15243","13603","13603","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",13363,"Yes",NA,"955",4735,"Curbside"
"30","Bolton","MA","2146","2146","2146","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","No","No","Yes","No","No","No","No","No",700.27,"Yes",NA,NA,576.03,NA
"31","Boston","MA","322000","272500","272500","Curbside","No","Curbside","Yes","Drop-off","Recycling","Recycling","Neither","Neither","Yes","No","No","No","No","No","No","Yes","No","No",199250,"Yes",NA,"1150.79",45208,"Both"
"33","Boxborough","MA","2020","933","933","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","No","No","No","No","No","No",733.9,"Yes",NA,NA,604.02,NA
"35","Braintree","MA","12300","10386","10373","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes",12435.67,"Yes",NA,"4400",3336.45,"Both"
"37","Brockton","MA","28225","26368","26368","Curbside","Yes","Both","Yes","None","Both","Recycling","Neither","Neither","No","Yes","No","No","Yes","No","No","No","Yes","Yes",27962,"Yes","0","5812",8817.73,"Both"
"38","Brookfield","MA","949","600","600","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No",530.99,"Yes",NA,NA,154,"Dropoff"
"39","Brookline","MA","24436","14547","14547","Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes",8584,"Yes","259.49","3293.33",4912.81,"Curbside"
"40","Buckland","MA","682","620","620","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","Yes",243.04,"Yes",NA,NA,151.5,NA
"41","Burlington","MA","7250","7055","7055","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",5756.29,"Yes",NA,NA,2285.93,"Curbside"
"42","Cambridge","MA","50000","32500","44700","Curbside","No","Curbside","Yes","Curbside","Both","Both","Recycling","Neither","Yes","No","No","No","No","Yes","Yes","Yes","No","No",15071,"Yes","380.71","2014",9132.26,"Curbside"
"43","Canton","MA","7477","7477","7459","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","No",7095.4,"Yes",NA,NA,1939,"Dropoff"
"44","Carlisle","MA","1800","1600","1600","Drop-off","No","Drop-off","No","Drop-off","Both","Both","Both","Neither","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes",1934.11,"Yes","0","0",976.99,"Dropoff"
"45","Charlemont","MA","473","440","440","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes",171.15,"Yes",NA,NA,77.68,NA
