"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"1","ABERDEEN","2","8551","No","Yes","No","No","Yes","3739","3739","3739","Curbside","Curbside","None","Curbside","Yes",NA,"No",3032.32,443.19,0,1608.52,0,"NC",842.690114337409,3136,58770,68054,5.6,58.4,36.1,0.3791
"2","AHOSKIE","2","4844","No","No","No","Yes","Yes","1864","1864","1864","Curbside","Curbside","None","Curbside","Yes",NA,"No",1962.56,148.22,NA,NA,1560,"NC",1100.65601278101,1906,35972,46769,21.5,61.1,17.5,0.4587
"3","ALAMANCE","2","991","No","No","No","Yes","Yes","390","390","390","Curbside","Curbside","None","Curbside","Yes",NA,"No",369.17,82.95,23,0,0,"NC",1246.33904152781,NA,NA,NA,NA,NA,NA,NA
"4","ALBEMARLE","2","16437","No","Yes","Yes","Yes","Yes","6238","6238","6238","Both","Curbside","None","Curbside","Yes",NA,"No",6969.61,927.49,5217.69,0,-2833.46,"NC",941.414688924061,6258,44294,58926,15.5,67.3,17.1,0.4707
"5","ALLIANCE","2","732","No","No","No","No","Yes","809",NA,NA,"None","Curbside","None","None","Yes",NA,"No",247.71,NA,NA,NA,NA,"NC",350.882920362048,440,32500,43882,21.7,72.2,6.2,0.4676
"6","ANDREWS","2","1663","No","No","No","Yes","Yes","743",NA,NA,"None","Curbside","None","None","Yes",NA,"No",1081.98,NA,NA,NA,NA,"NC",966.14683650748,789,29612,44230,21.1,69.9,9,0.4403
"7","ANGIER","2","5288","No","Yes","No","No","Yes","3200","3200","3200","Curbside","Curbside","None","Curbside","Yes",NA,"No",2734,324,NA,NA,522,"NC",1652.90803421932,2104,45132,58410,17.4,57,25.6,0.4379
"8","ANSONVILLE","2","439","No","Yes","No","No","Yes","360",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",298.346500956489,253,43958,57596,23.3,71.6,5.1,0.4511
"9","APEX","2","59368","Yes","No","No","Yes","Yes","21169","21504","21073","Curbside","Curbside","None","Curbside","Yes",NA,"No",14692.7884,4204.91,7299.37,0,0,"NC",2700.25615033198,19228,112549,133070,2.5,35.2,62.3,0.3823
"10","ARAPAHOE","2","415","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",191.13813931133,200,67500,82776,13.8,77.9,8.3,0.4864
"11","ARCHDALE","2","11923","No","No","No","No","Yes","4689","4122","3048","Curbside","Curbside","Backyard","Curbside","Yes",NA,"No",3459,731,NA,NA,405.4,"NC",1349.73265956792,4704,56658,70164,10.9,70.1,19.1,0.3746
"12","ARCHER LODGE","2","4836","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",533.350234281516,2068,70000,135342,14.1,60.1,25.8,0.5793
"13","ASHEBORO","2","27191","Yes","No","No","Yes","Yes","8000","8000",NA,"Both","Curbside","None","Curbside","Yes",NA,"No",13502,318,2069,0,NA,"NC",1439.22697718187,10741,37171,48414,21.5,60.6,18,0.4323
"14","ASHEVILLE","2","94855","Yes","No","No","Yes","Yes","30000","29687","30000","Curbside","Curbside","Backyard","Curbside","Yes",NA,"Yes",24198,9502.76,6898,0,0,"NC",2086.07752753853,39895,53621,75787,7.4,42.7,50,0.4772
"15","ASKEWVILLE","2","183","No","No","No","Yes","No","100",NA,NA,"None","Curbside","None","None","No",NA,"No",77.48,NA,NA,NA,NA,"NC",309.170814240892,89,36250,55618,9,84.2,6.9,0.4702
"16","ATKINSON","2","297","No","No","No","No","Yes","172","170",NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",300.055612434131,114,34167,49417,16.5,74.4,9.1,0.4041
"17","ATLANTIC BEACH","2","1362","No","No","No","Yes","Yes","3047","3075","3047","Both","Curbside","None","Curbside","Yes",NA,"No",1945.6,295.19,119,0,0,"NC",582.282268538707,990,59348,81697,2.9,59.4,37.7,0.4809
"18","AULANDER","2","760","No","No","No","No","Yes","372",NA,"372","None","Curbside","None","Curbside","No",NA,"No",61.77,NA,NA,NA,80,"NC",514.506963108448,392,42071,53812,26.4,67.9,5.7,0.4029
"19","AURORA","2","454","No","No","No","No","Yes","258",NA,"258","None","Curbside","None","Curbside","Yes",NA,"No",264,NA,NA,NA,120,"NC",489.127872869348,320,38026,48993,12.3,82.2,5.5,0.4482
"20","AUTRYVILLE","2","166","Yes","No","No","No","Yes","130",NA,NA,"None","Curbside","None","None","No",NA,"No",96.01,NA,NA,NA,NA,"NC",317.716681724519,80,36000,57971,26.6,60.7,12.7,0.3957
"21","AYDEN","2","4972","Yes","No","No","Yes","Yes","2002","2002",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",2247.58,139.85,NA,NA,NA,"NC",1303.61569531675,2041,53317,52629,12.3,70.9,16.8,0.4034
"22","BADIN","2","2024","No","No","No","Yes","No","650",NA,"650",NA,"Curbside","None","Curbside","No",NA,"No",52.55,NA,NA,NA,NA,"NC",1116.46049356139,447,32031,39978,21.2,72.9,5.9,0.4234
"23","BAILEY","2","568","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",809.191869678103,215,39018,54692,14.4,66.9,18.6,0.3606
"24","BAKERSVILLE","2","450","No","No","No","Yes","Yes","70",NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",113.1,12.75,NA,NA,0,"NC",592.022541982744,304,53750,77581,17.9,70.2,11.9,0.5303
"25","BALD HEAD ISLAND","2","270","Yes","No","No","Yes","No","1200","1200","1200","Dropoff","Both","None","Curbside","No",NA,"No",690,210.1,NA,NA,1300,"NC",68.976758166356,NA,NA,NA,NA,NA,NA,NA
"26","BANNER ELK","2","1046","No","No","No","Yes","Yes","136","43",NA,"Both","Curbside","None","None","No",NA,"No",44.95,42.05,NA,NA,NA,"NC",544.803408103453,352,53750,123028,1.8,44.8,53.5,0.5887
"27","BATH","2","244","No","No","No","Yes","No","266",NA,"266","None","Curbside","None","Curbside","No",NA,"No",113,NA,0,41.3,0,"NC",683.281812239576,122,52500,89764,3.9,54.6,41.5,0.53
"28","BAYBORO","2","1160","No","No","No","Yes","Yes","189",NA,NA,"None","Curbside","None","None","Yes",NA,"No",162.36,NA,NA,NA,NA,"NC",626.112845031149,266,35323,39404,17,78.1,4.9,0.4016
"29","BEAR GRASS","2","89","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",350.963997236094,33,48875,58212,11.7,76.7,11.6,0.3113
"30","BEAUFORT","2","4457","No","No","No","No","Yes","2532","2532","2532","Curbside","Curbside","None","Curbside","Yes",NA,"No",2140.04,459.22,NA,NA,17109.95,"NC",879.764872820549,2160,36466,51628,9.5,64,26.6,0.4987
"31","BEECH MOUNTAIN","2","673","Yes","No","No","No","Yes","2152","2152",NA,"Dropoff","Curbside","None","Curbside","No",NA,"No",1584.51,119.72,NA,NA,20.8,"NC",103.847344604167,350,72917,96651,3.2,51.9,44.8,0.4251
"32","BELHAVEN","2","1406","No","No","No","Yes","Yes","818",NA,"818","Dropoff","Curbside","None","Curbside","Yes",NA,"No",1717,16,367,0,0,"NC",884.018290329948,608,29333,50107,21.1,66.9,12,0.5514
"33","BELMONT","2","15052","No","No","No","Yes","Yes","6028","6022","6028","Both","Curbside","None","Curbside","Yes",NA,"No",5259.99,921.82,0,654.45,0,"NC",1237.89051599359,4515,73968,112623,9.2,48.7,42.1,0.5338
"34","BELVILLE","2","2421","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1420.41474061738,1047,66750,71109,9.6,59.7,30.6,0.3239
"35","BELWOOD","2","859","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",69.8470625065246,365,42119,57859,11.1,79.3,9.5,0.3721
"36","BENSON","2","3998","No","No","No","Yes","Yes","1714","1200","1714","Curbside","Curbside","None","Curbside","Yes",NA,"No",1189.76,287.56,NA,NA,305.76,"NC",1425.37132254782,1433,45268,55560,17.5,56.3,26.2,0.4969
"37","BERMUDA RUN","2","3128","No","No","No","Yes","No","1535",NA,NA,"None","Curbside","None","None","Yes",NA,"No",1590.7,NA,NA,NA,NA,"NC",1253.56470351324,1430,71082,87052,1.1,54.5,44.4,0.3781
"38","BESSEMER CITY","2","5444","No","No","No","No","Yes","2231",NA,"2231","None","Curbside","None","Curbside","Yes",NA,"No",2634.34,NA,704,0,0,"NC",1041.86497820773,1882,39055,51762,24.7,66.5,9,0.4128
"39","BETHANIA","2","345","No","No","No","Yes","No","179","179",NA,"Curbside","Curbside","None","None","Yes",NA,"No",150.15,52,NA,NA,NA,"NC",508.467323222647,155,70656,115066,9.8,64.8,25.3,0.4958
"40","BETHEL","2","1371","No","No","No","No","Yes","654",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",1302.78797709613,842,42500,53834,18.7,61.7,19.6,0.4537
"41","BEULAVILLE","2","1106","No","No","No","No","Yes","675","675","675","Curbside","Curbside","None","Curbside","No",NA,"No",1131.94,31.06,64.25,0,0,"NC",716.14818390618,785,32358,50773,17.8,62.2,20.1,0.5096
"42","BILTMORE FOREST","2","1413","No","No","No","Yes","No","689","689","689","Curbside","Curbside","None","Curbside","Yes",NA,"No",404.97,222.03,NA,NA,2010,"NC",485.547451550297,588,164000,316620,0.4,15.3,84.3,0.5615
"43","BISCOE","2","1847","No","No","No","Yes","No","908",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",1124.06,NA,0,53.59,0,"NC",685.653633730843,826,44792,50895,27.7,55.4,17,0.3465
"44","BLACK CREEK","2","691","No","No","No","No","Yes","416","416","343","Curbside","Curbside","None","Curbside","Yes",NA,"No",492.88,46.13,36,0,0,"NC",974.200746194797,317,49219,56631,15,78,7.1,0.3887
"45","BLACK MOUNTAIN","2","8450","No","No","No","Yes","No","4612","4612","4612","Curbside","Curbside","None","Curbside","No",NA,"No",2620.66,646.94,65.89,0,0,"NC",1258.99767275408,4084,55975,70082,7.2,35.7,57.1,0.4416
"46","BLADENBORO","2","1637","No","No","No","Yes","Yes","881",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",703.9,NA,NA,NA,NA,"NC",738.976391187156,849,43783,49192,16.3,69.5,14.1,0.4678
"47","BLOWING ROCK","2","1371","No","No","No","Yes","Yes","2060","2060",NA,"Curbside","Curbside","None","Curbside","No",NA,"No",2153.46,219.65,110,0,NA,"NC",423.073354095123,618,83333,110378,3.3,34.9,61.8,0.4327
"48","BOARDMAN","2","165","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",53.4289568146144,125,49250,51637,18.2,75.2,6.6,0.2608
"49","BOGUE","2","694","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",252.696402539685,340,76528,83939,7.9,75.7,16.4,0.3124
"50","BOILING SPRING LAKES","2","5980","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",248.208800896628,2574,51742,58914,3.6,83.8,12.4,0.3955
"51","BOILING SPRINGS","2","4624","Yes","No","No","Yes","Yes","1460","1360","1400","Curbside","Curbside","None","Curbside","Yes",NA,"No",255,244,200,0,0,"NC",1032.00986484781,1166,73457,82736,8.6,46,45.4,0.4283
"52","BOLIVIA","2","150","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",235.75537433392,68,32500,44894,11.2,53.7,35.1,0.3794
"53","BOLTON","2","515","No","No","No","No","Yes","225",NA,NA,"None","Curbside","None","None","Yes",NA,"No",346.5,NA,NA,NA,NA,"NC",142.963729565477,246,42333,51429,25.3,70.9,3.9,0.3886
"54","BOONE","2","19046","No","No","No","Yes","No","2518","2518","2518","Both","Curbside","Backyard","Curbside","No",NA,"Yes",1872.02,2590.95,460.09,0,-5,"NC",3017.62074534083,6005,25535,48923,12.7,39.2,48.1,0.602
"55","BOONVILLE","2","1184","Yes","Yes","No","Yes","Yes","477","477","477","Curbside","Curbside","None","Curbside","Yes",NA,"No",429.59,71.39,24.57,0,0,"NC",987.268856535129,616,52500,57090,7,71.2,21.6,0.393
"56","BOSTIC","2","354","No","No","No","Yes","Yes","118",NA,NA,"None","Curbside","None","None","No",NA,"No",78.04,NA,NA,NA,NA,"NC",379.575459027844,147,34107,55314,16.3,71.7,12,0.4757
"57","BREVARD","2","7727","No","No","No","Yes","Yes","2968","2968","2968","Curbside","Curbside","None","Curbside","No",NA,"No",3135,714,2912,0,0,"NC",1444.3354843462,3549,37878,59656,8.7,56.5,34.9,0.4697
