County,state,Notes,TrashServiceType,RecyclingServiceType,YardWasteServiceType,FoodServiceType,MunicipalService,SchoolService,BusinessService,Non-resident Trash and Recycling Service,PropertyTax,AnnualFee,TransferStationAccessFee,Per-VisitFee,TipFee,PAYT/SMART,SingleorMultiStream,ProvideTrashCart,ProvRecycleBinorCart,ProvideCompostBins,EnforceRecycling,ExtraInfo
Alachua,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker,FL,Part of NRWSA,Drop-off,Drop-off,Drop-off,None,No,No,No,No,No,Yes,No,No,Yes,No,Multi,No,No,No,No,
Bay,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradford,FL,Part of NRWSA,Drop-off,Drop-off,Drop-off,None,No,No,No,No,No,Yes,No,No,Yes,No,Multi,No,No,No,No,
Brevard,FL,,Both,Both,Both,None,No,No,No,No,Yes,No,No,No,No,No,Single,Yes,Yes,No,No,
Broward,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calhoun,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clay,FL,,Both,Both,None,None,No,No,No,No,No,Yes,No,No,No,No,Dual Stream,No,Yes,No,No,The annual fee is assessed on tax bill.
Collier,FL,,Curbside,Both,Curbside,None,No,No,No,No,No,Yes,No,No,No,No,Single,Yes,Yes,Yes,No,Only mandatory for businesses so I said no cause mostly looking at residential
Columbia,FL,,Curbside,Drop-off,None,None,No,No,No,No,Yes,No,No,No,No,No,Drop-Off,No,No,No,No,
Desoto,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dixie,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duval,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escambia,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flagler,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franklin,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gadsden,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
