"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"3","Abington","6669",5222,0.783025940920678,4151.18,1603.84,NA,"35.1","13.26","0","Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes","Yes",0.27868539118891
"4","Acton","9823",3815,0.388374223760562,2246.25,1389.01,"77.2","300","1802.94",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Both",NA,NA,"Yes","Yes","Yes","Yes","No","Yes",0.382093715442637
"5","Acushnet","3799",3799,1,3726.67,1062.93,NA,"0","4.6900000000000004",NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.221924586604309
"6","Adams","3867",601,0.155417636410654,160.16,184.84,NA,"10.8","12250",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No","Yes",0.535768115942029
"7","Agawam","13031",8894,0.68252628347786,7259.81,2409.46,NA,"2233","17.440000000000001",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.249187374020996
"9","Amesbury","5846",5646,0.96578857338351,5355.95,1808.55,NA,NA,NA,NA,"Curbside",NA,"Curbside","Bi-weekly","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.252432130644148
"10","Amherst","9162",2340,0.255402750491159,1212.19,487.41,"23","143","7.8",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both",NA,NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.286779242174629
"11","Andover","10900",9004,0.82605504587156,10700,3355,"137","830","12.25",NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.238705087157595
"12","Aquinnah","345",230,0.666666666666667,96,57,"0.23",NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both","Yes",NA,NA,NA,"Yes","Yes","No","Yes",0.372549019607843
"13","Arlington","20311",20311,1,12510,5352.37,"70.3","3620","47.9",NA,"Curbside",NA,"Curbside","Weekly","No","Drop-off","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.299645007913284
