"Municipality","Recycling with ecomaine","Municipal Solid Waste with ecomaine","Population","Total Tons Municipal Solid Waste","Total Tons Recycling","Total Tonnage (MSW+Recycling)","Recycling Rate (%)","Curbside Recycling","Curbside MSW","Mandated Recycling Ordinance","Pay Per Bag","Yard Waste Recycling Solutions","Food Waste Recycling Solutions","Plastic Bag fee or ban","Polystyrene ban","Swap shop","Incentives"
"Andover","Yes","No","818","258","45","303","14.90","No","No","No","No","Yes","No","No","No","No","Yard Waste Solutions"
"Augusta","Yes","No","18,594","6,000","310","6,310","4.90","No","Yes","No","No","Yes","No","No","No","No","Curbside municipal solid waste, yard waste recycling solutions"
"Bridgton","Yes","Yes","5,368","2,543","511","3,054","16.70","No","No","No","No","Yes","Yes","No","No","Yes","Yard waste recycling solutions, food waste recycling solutions, swap shop"
"Brownfield","Yes","No","1,622","430","67","497","13.50","No","Yes","No","No","Yes","Yes","No","No","No","Curbside municipal solid waste, yard waste solutions, Food waste recycling solutions"
"Cape Elizabeth","Yes","Yes","9,313","2,840","890","3,730","23.90","No","No","No","No","Yes","Yes","No","No","Yes","Yard waste recycling solutions, food waste recycling solutions, swap shop"
"Casco-Naples","Yes","Yes","7,865","2,023","399","2,422","16.50","No","No","No","No","Yes","No","No","No","Yes","Yard Waste Solutions, Swap shop"
"Chebeague Island","Yes","Yes","351","227","35","262","13.40","No","No","No","No","Yes","No","No","No","Yes","Yard waste recycling solutons, swap shop"
"Chelsea","Yes","No","2,703","1,000","34","1,034","3.30","No","No","No","No","No","No","No","No","No","None at this time"
"Cornish","Yes","No","1,419","1,222","49","1,271","3.90","No","Yes","No","No","No","No","No","No","No","Curbside municipal solid waste"
"Cumberland","Yes","Yes","8,131","1,790","787","2,577","30.50","Yes","Yes","No","Yes","Yes","No","No","No","No","Curbside recycling, curbside municipal solid waste, pay per bag, yard waste recycling solutions"
"Eliot","No","Yes","6,594","2,589","840","3,429","24.50","No","No","Yes","Yes","Yes","Yes","No","No","No","Mandatory recycling ordinance, pay per bag, yard waste recycling solutions, food waste recycling solutions"
"Falmouth","Yes","Yes","12,162","2,275","1,335","3,610","37.00","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Curbside recycling, Curbsde municipal solid waste, pay per bag, yard waste recycling solutions, food waste recycling solutions, plastic bag ban or fee"
"Freeport","Yes","Yes","8,456","1,619","780","2,399","32.50","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Mandated recycling ordinance, yard waste recycling solutions, food waste recycling solutuons, plastic bag fee or ban, polystyrene ban, swap shop"
"Frye Island","Yes","Yes","5","84","23","107","21.50","No","No","No","No","No","No","No","No","No","None at this time"
"Fryeburg","Yes","No","3,438","1,601","240","1,841","13.00","No","No","No","No","Yes","No","No","No","No","Yard waste recycling solutions"
"Gorham","Yes","Yes","17,450","3,079","1,050","4,129","25.40","Yes","Yes","No","Yes","Yes","No","No","No","No","Curbside recycling, curbside municipal solid waste, pay per bag, yard waste recycling solutions"
"Gray","No","Yes","8,163","2,842","445","3,287","13.50","No","No","Yes","No","Yes","No","No","No","Yes","Mandated recycling ordinance, yard waste recycling solutions, swap shop"
"Greenland (NH)","Yes","No","4,035","918","354","1,272","27.80","No","No","Yes","No","No","No","No","No","No","Mandated recycling ordinance"
"Harrison","Yes","Yes","2,784","996","180","1,176","15.30","No","No","No","No","No","No","No","No","No","None at this time"
"Hollis","Yes","Yes","4,614","1,229","264","1,493","17.70","Yes","Yes","No","No","No","No","No","No","No","Curbside recycling, curbside municipal solid waste"
"Kittery","No","Yes","9,722","1,831","854","2,685","31.80","No","No","Yes","No","Yes","No","No","No","Yes","Mandated recycling ordinance, yard waste recycling solutions, swap shop"
"Lamoine","Yes","Yes","1,661","411","40","451","8.90","No","No","No","No","No","No","No","No","Yes","Swap shop"
"Limerick","Yes","Yes","2,953","1,539","86","1,625","5.30","No","Yes","No","No","Yes","No","No","No","Yes","Curbside municipal solid waste, yard waste recycling solutions, swap shop"
"Limington","Yes","Yes","3,828","1,375","98","1,473","6.70","No","Yes","No","No","Yes","No","No","No","No","Curbside municipal solid waste, yard waste recycling solutions"
"Livermore Falls","Yes","Yes","3,128","515","83","598","13.90","No","No","Yes","No","Yes","No","No","No","No","Mandated recycling ordinance, yard waste recycling solutions"
"Lyman","Yes","Yes","4,446","1,700","220","1,920","11.50","No","No","No","No","No","No","No","No","Yes","Swap shop"
"MidCoast Solid Waste Corp (Rockport, Camden, Lincolnville, Hope)","No","Yes","12,139","5,610","771","6,381","12.10","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Pay per bag, yard waste solutions, food waste solutions, plastic bag fee or ban, swap shop"
"Monmouth","Yes","No","4,104","1,228","272","1,500","18.10","No","No","No","No","No","No","No","No","No","None at this time"
"Newington (NH)","Yes","No","789","303","87","390","22.30","No","Yes","No","No","Yes","No","No","No","Yes","Curbside municipal solid waste, yard waste recycling solutions, swap shop"
"North Haven","Yes","Yes","355","182","67","249","26.90","No","No","No","Yes","Yes","No","No","No","Yes","Pay per bag, yard waste recycling solutions, swap shop"
