"","State","GovUnit","Type","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","FoodWaste","Households","HHServedTrash","HHServedRecycling","HHServedYard","TrashServiceType","RecyclingServiceType","YardWasteServiceType","FoodService","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","TipFee","CurbsideFee","DropoffFee","PerHouseCharge","Population","PopulationDensity","MedIncome","AvgIncome","Gini","PctLessHS","PctHS","PctBachelororMore"
"1","MA","Abington","Municipality",4151.18,1617.1,NA,NA,35.1,NA,6669,5222,5222,NA,-1,-1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1662.37,106001,110882.765992435,0.3668,4.92391114220745,56.8305055098828,38.2455833479097
"2","MA","Acushnet","Municipality",3726.67,1067.62,NA,NA,0,NA,3799,3799,3799,0,-1,0,NA,0,1,1,0,0,0,1,1,1,0,0,0,0,1,NA,NA,NA,NA,574.6235,74035,90264.5502645503,0.3955,15.3740477082553,64.0314724615961,20.5944798301486
"3","MA","Adams","Municipality",160.16,12434.84,NA,NA,10.8,NA,3867,601,601,NA,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,NA,NA,NA,NA,353.1888,47636,66391.928589389,0.4608,11.3459399332592,64.7544891148896,23.8995709518513
"4","MA","Agawam","Municipality",7259.81,2426.9,NA,NA,2233,NA,13031,8894,8894,NA,-1,-1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1227.474,72396,91445.8604730888,0.4213,6.24825532706802,58.4349120684842,35.3168326044478
"5","MA","Amesbury","Municipality",5355.95,1808.55,NA,NA,NA,NA,5846,5646,5746,NA,-1,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1421.562,81027,106197.271745003,0.445,4.00280898876404,56.1173533083645,39.8798377028714
"6","MA","Andover","Municipality",10700,3367.25,NA,NA,830,137,10900,9004,9004,NA,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1171.429,153315,194737.157666718,0.4469,3.15581854043393,22.5180802103879,74.3261012491782
"8","MA","Arlington","Municipality",12510,5400.27,NA,NA,3620,70.3,20311,20311,20311,NA,-1,-1,-1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,8823.654,114576,149456.846950518,0.4551,2.98682548276484,24.4961799915779,72.5169945256572
"9","MA","Ashby","Municipality",109.48,92.76,NA,NA,1.13,NA,1145,230,230,NA,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,NA,NA,NA,NA,135.6911,97269,116121.490880254,0.3668,6.95272149384188,52.4433849821216,40.6038935240366
"10","MA","Ashland","Municipality",3153.12,1997.21,NA,NA,360.51,NA,6320,5950,5950,NA,-1,-1,-1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,1441.681,118348,142741.718135879,0.4048,3.83942826731544,35.4519881395879,60.7085835930966
"11","MA","Attleboro","Municipality",10418.85,4520.33,NA,NA,1420,NA,15007,14378,14378,NA,-1,-1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,1681.262,77107,97453.9191584243,0.4424,9.56876674767869,58.7150246151929,31.7162086371284
"12","MA","Auburn","Municipality",4554,1633,NA,NA,NA,NA,7542,5157,5157,NA,-1,-1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,NA,NA,NA,NA,1077.962,82388,102007.196514423,0.4138,6.28134506289567,52.3472827427444,41.3713721943599
"14","MA","Ayer","Municipality",738.5,571.77,NA,NA,75,12.38,3282,1290,1290,NA,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,NA,NA,NA,NA,911.6504,99044,113754.661016949,0.382,4.46047884552312,48.573302722204,46.9662184322729
"15","MA","Barnstable","Municipality",9657,6691.95,NA,NA,405,15.36,25517,9053,9053,NA,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,742.4828,77227,105923.441762854,0.4464,5.89101620029455,53.2415617204172,40.8674220792883
"16","MA","Barre","Municipality",752.14,344.78,NA,NA,NA,NA,2477,900,900,NA,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA,125.4195,81109,100404.45118867,0.3654,4.03183023872679,58.8594164456233,37.1087533156499
"17","RI","Barrington","Municipality",6032,6164,NA,NA,NA,NA,NA,6024,6024,NA,-1,0,NA,0,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,1966.958,125317,186216.264751154,0.4976,2.42435289828655,25.6015311702516,71.9741159314619
"18","MA","Bedford","Municipality",3911.75,1725.33,NA,NA,520.11,60,5033,4443,4443,NA,-1,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1034.658,133824,179793.321982596,0.4379,4.69244108946241,27.2875650311129,68.0199938794247
"19","MA","Belchertown","Municipality",1541,1315.4,NA,NA,726,NA,7451,1847,1847,NA,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,NA,NA,NA,NA,286.6825,94812,110534.97441327,0.3895,3.45804988662131,49.9811035525321,46.5608465608466
"20","MA","Belmont","Municipality",6416,3026.78,NA,NA,160.15,NA,9810,9810,9810,NA,-1,-1,-1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,5627.844,140500,193513.087996756,0.4878,3.24150901648412,20.3175129992256,76.4409779842903
"21","MA","Berkley","Municipality",704.32,476.97,NA,NA,NA,NA,2870,1155,1155,NA,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,411.8672,106515,124083.987648875,0.3506,5.41577825159915,54.8400852878465,39.7441364605544
"22","MA","Berlin","Municipality",659,237,NA,NA,NA,NA,1470,720,720,NA,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,255.3068,104432,132709.992254067,0.4604,3.66141732283465,45.3149606299213,51.0236220472441
"23","MA","Beverly","Municipality",12612.2,3216.55,NA,NA,1000,347.73,14000,12625,12625,NA,-1,-1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,NA,NA,NA,NA,2787.397,84354,117088.676967648,0.4906,4.589447393069,46.008949942762,49.401602664169
"24","MA","Billerica","Municipality",13363,4735,NA,NA,955,NA,15243,13603,13603,NA,-1,-1,-1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1692.103,113239,122094.044777082,0.3512,5.78238799382035,56.3168017151685,37.9008102910111
"25","MA","Bolton","Municipality",700.27,576.03,NA,NA,NA,NA,2146,2146,2146,NA,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,268.5248,167708,182013.224535734,0.346,1.04549307714044,28.2000565131393,70.7544504097203
"26","MA","Boston","Municipality",199250,45208,NA,NA,1150.79,NA,322000,272500,272500,NA,-1,-1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,NA,NA,NA,NA,14259.73,76298,113307.277406035,0.5343,12.1345517725283,36.5258194393398,51.3396287881319
"27","MA","Boxborough","Municipality",733.9,604.02,NA,NA,NA,NA,2020,933,933,NA,1,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,551.9827,126597,155918.769366977,0.4359,4.94019760790432,24.4669786791472,70.5928237129485
"28","MA","Braintree","Municipality",12435.67,3336.45,NA,NA,4400,NA,12300,10386,10373,NA,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,2702.605,101544,125998.160133808,0.4143,6.5668465455651,49.0423348787718,44.3908185756631
"30","RI","Bristol","Municipality",8277,4308,NA,NA,NA,NA,NA,8700,8700,NA,0,0,NA,NA,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,1,NA,NA,2254.639,74079,102181.968630357,0.4393,13.8991721074241,45.5340916739584,40.5667362186175
"31","MA","Brockton","Municipality",27962,8817.73,NA,NA,5812,0,28225,26368,26368,NA,-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,4487.991,62249,82034.5243014718,0.4538,20.5545519065746,61.08619910962,18.3592489838054
"32","MA","Brookfield","Municipality",530.99,154,NA,NA,NA,NA,949,600,600,NA,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,NA,NA,NA,NA,221.4837,70610,91487.3538011696,0.4147,6.39488409272582,65.8673061550759,27.7378097521982
"33","MA","Brookline","Municipality",8584,4912.81,NA,NA,3293.33,259.49,24436,14547,14547,NA,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,8761.115,113642,175141.634615385,0.5215,2.77229189295942,13.6590303149995,83.5686777920411
"35","MA","Buckland","Municipality",243.04,151.5,NA,NA,NA,NA,682,620,620,NA,1,1,NA,0,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,104.8966,62643,70270.1098901099,0.4043,8.19262038774234,43.7773608505316,48.0300187617261
"36","MA","Burlington","Municipality",5756.29,2285.93,NA,NA,NA,NA,7250,7055,7055,NA,-1,-1,-1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2389.553,121433,148658.418823529,0.4317,3.74267892005143,37.7601066615875,58.497214418361
"37","RI","Burrillville","Municipality",4752,2719,NA,NA,NA,NA,NA,5862,5862,NA,-1,0,NA,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,303.8167,90713,96435.9572719803,0.3411,9.97730520299235,64.2346810120198,25.7880137849878
"38","MA","Cambridge","Municipality",15071,9132.26,NA,NA,2014,380.71,50000,32500,44700,NA,-1,-1,-1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,18428.62,107490,145972.19962486,0.4877,4.46231806466875,16.4597781291632,79.0779038061681
"39","MA","Canton","Municipality",7095.4,1939,NA,NA,NA,NA,7477,7477,7459,NA,-1,-1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,1259.723,107442,139758.898029877,0.4375,3.99930345948456,36.7889482238217,59.2117483166938
"41","MA","Carlisle","Municipality",1934.11,976.99,NA,NA,0,0,1800,1600,1600,NA,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA,342.534,197530,234370.704225352,0.4371,1.11972437553833,21.159919609532,77.7203560149297
"42","RI","Central Falls","Municipality",6178,1894,NA,NA,NA,NA,NA,5293,5293,NA,-1,-1,NA,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,16278.91,34689,45736.6743345383,0.4256,35.8631977946244,54.9620951068229,9.17470709855272
"43","MA","Charlemont","Municipality",171.15,77.68,NA,NA,NA,NA,473,440,440,NA,1,1,NA,0,0,0,1,1,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,41.52271,49071,71578.7755102041,0.4169,10.3368176538908,54.3554006968641,35.3077816492451
"44","RI","Charlestown","Municipality",739,535,NA,NA,NA,NA,NA,1865,1865,NA,1,1,NA,0,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,1,NA,NA,214.3334,80327,107888.01628854,0.4266,5.27839264430444,56.8704239741188,37.8511833815767
"45","MA","Charlton","Municipality",295,65.18,NA,NA,NA,NA,4964,0,200,NA,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,322.6733,102531,113344.497017075,0.3499,6.07212687377797,56.7890506191614,37.1388225070606
"47","MA","Chelmsford","Municipality",11160.04,3488.7,NA,NA,NA,NA,13564,12697,12697,NA,-1,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,1574.479,117582,136262.293723156,0.3906,2.81600509108265,43.4690955373479,53.7148993715695
"49","MA","Cheshire","Municipality",639.24,168.95,NA,NA,10.8,NA,1358,835,835,NA,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,117.0375,71653,79934.2544987147,0.3537,5.41501976284585,63.6758893280632,30.9090909090909
"50","MA","Chester","Municipality",206.27,94.32,NA,NA,NA,NA,699,240,240,NA,1,1,NA,0,0,0,0,1,1,0,0,0,1,0,0,1,1,NA,NA,NA,NA,41.68121,73523,80669.0166975881,0.3661,9.16030534351145,72.1374045801527,18.7022900763359
"51","MA","Chesterfield","Municipality",158.94,64.83,NA,NA,NA,NA,555,226,226,NA,1,1,NA,0,0,0,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,38.54232,75880,86130.9941520468,0.3742,7.15835140997831,62.3644251626898,30.4772234273319
"52","MA","Chicopee","Municipality",11856.73,4943.51,NA,NA,6051.7,NA,24300,18902,19102,NA,-1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,NA,NA,NA,NA,2409.282,52702,66152.1132767518,0.4362,14.6237817756177,64.5919743504924,20.7842438738899
"53","MA","Clarksburg","Municipality",NA,NA,NA,NA,NA,NA,720,0,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,140.1815,67250,84074.9299719888,0.3785,9.04723779023219,65.2522017614091,25.7005604483587
"54","MA","Cohasset","Municipality",1438.81,1033.63,NA,NA,NA,NA,3433,3157,3157,NA,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,NA,NA,NA,NA,870.7627,141036,215898.328690808,0.5182,1.93784916201117,25.6634078212291,72.3987430167598
"55","MA","Colrain","Municipality",285.29,154.66,NA,NA,NA,NA,675,645,645,NA,1,1,NA,0,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,41.12973,61094,77165.8503401361,0.3728,5.2833078101072,62.0214395099541,32.6952526799387
"56","MA","Concord","Municipality",2642.74,1875.25,NA,NA,3365.4,NA,5500,3504,3587,NA,-1,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,773.045,160392,224798.918083462,0.4752,4.93403890586569,22.4863978534695,72.5795632406648
"57","MA","Conway","Municipality",550.09,267.91,NA,NA,NA,42,669,648,648,NA,1,1,NA,1,0,0,1,1,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA,49.15055,92813,128461.712846348,0.4503,1.83356840620592,33.8504936530324,64.3159379407616
